Year,Q,Period,Rank 1,Rank 2,Rank 3,Rank 4,Average minutes played per day,Game,Console,Image_path,Genre,,Console
2007,4,Primary School,Assassin’s Creed,Mass Effect,Mario & Sonic at the Olympic Games,Halo 3,60,Guitar Hero,PS2,Guitar Hero,Puzzle / Party / Rhythm,,
2008,1,Primary School,Call of Duty 4 Modern Warfare,Skate,WWE SmackDown vs Raw 2007,Wii Sports!,50,Mario & Sonic at the Olympic Games,Wii,Mario & Sonic at the Olympic Games,Sports / Racing,,
2008,2,Primary School,Halo 3,Call of Duty 4 Modern Warfare,Fable II,Mario & Sonic at the Olympic Games,50,Wii Sports!,Wii,Wii Sports!,Sports / Racing,,
2008,3,Secondary School,RuneScape 2,Halo 3,Call of Duty 4 Modern Warfare,WWE SmackDown vs Raw 2007,60,Mario Kart Wii,Wii,Mario Kart Wii,Sports / Racing,,
2008,4,Secondary School,Call of Duty World at War,Gears of War 2,Mario Kart Wii,Age of Empires II The Age of Kings,90,WWE SmackDown vs Raw 2007,PS2,WWE SmackDown vs Raw 2007,Fighting / Brawler,,
2009,1,Secondary School,Assassin’s Creed II,RuneScape 2,Halo 3,Age of Empires II The Age of Kings,100,Halo 3,Xbox 360,Halo 3,Shooter,,
2009,2,Secondary School,Call of Duty World at War,Skate 2,Age of Empires II The Age of Kings,RuneScape 2,110,Call of Duty 3,Xbox 360,Call of Duty 3,Shooter,,
2009,3,Secondary School,Call of Duty World at War,Grand Theft Auto IV,Skate 2,RuneScape 2,110,Call of Duty 4 Modern Warfare,Xbox 360,Call of Duty 4 Modern Warfare,Shooter,,
2009,4,Secondary School,Call of Duty Modern Warfare 2,Fallout 3,Age of Empires II The Age of Kings,RuneScape 2,120,Call of Duty World at War,Xbox 360,Call of Duty World at War,Shooter,,
2010,1,Secondary School,Call of Duty Modern Warfare 2,Call of Duty World at War,Grand Theft Auto IV,Skate 2,100,Call of Duty Black Ops,Xbox 360,Call of Duty Black Ops,Shooter,,
2010,2,Secondary School,Call of Duty Modern Warfare 2,Call of Duty World at War,Grand Theft Auto IV,Age of Empires II The Age of Kings,100,Call of Duty Modern Warfare 3,Xbox 360,Call of Duty Modern Warfare 3,Shooter,,
2010,3,Secondary School,Halo Reach,Call of Duty Modern Warfare 2,Call of Duty Black Ops II PS4,Worms World Party,50,Call of Duty Black Ops II,Xbox 360,Call of Duty Black Ops II,Shooter,,
2010,4,Secondary School,Call of Duty Black Ops,Fallout New Vegas,Worms World Party,Age of Empires III,80,Assassin’s Creed II,Xbox 360,Assassin’s Creed II,Stealth ,,
2011,1,Secondary School,Call of Duty Black Ops,Fallout New Vegas,Mass Effect 2,Worms World Party,90,Fallout 3,Xbox 360,Fallout 3,RPG,,
2011,2,Secondary School,World of Warcraft,Call of Duty World at War,Age of Empires III,Call of Duty Modern Warfare 2,120,Age of Empires III,PC,Age of Empires III,Strategy,,
2011,3,Secondary School,Call of Duty Black Ops,World of Warcraft,Worms World Party,Age of Empires III,60,Grand Theft Auto IV,Xbox 360,Grand Theft Auto IV,Platformer,,
2011,4,Secondary School,Call of Duty Modern Warfare 3,Portal 2,Worms World Party,Grand Theft Auto IV,90,Assassin’s Creed Origins,PS4,Assassin’s Creed Origins,RPG,,
2012,1,Secondary School,Call of Duty Modern Warfare 3,Call of Duty Black Ops,Call of Duty Modern Warfare 2,Portal 2,90,Half-Life 2,Xbox,Half-Life 2,Shooter,,
2012,2,Secondary School,Mass Effect 3,Call of Duty Modern Warfare 3,RuneScape 2,Call of Duty Modern Warfare 2,50,Portal 2,Xbox 360,Portal 2,Puzzle / Party,,
2012,3,Secondary School,Call of Duty Modern Warfare 3,Call of Duty Black Ops,Call of Duty Black Ops,RuneScape 2,40,Overcooked,Switch,Overcooked,Puzzle / Party,,
2012,4,Secondary School,Assassin’s Creed III,Call of Duty Black Ops,RuneScape 2,Worms World Party,30,Grand Theft Auto V,Xbox 360,Grand Theft Auto V,Platformer,,
2013,1,Secondary School,Call of Duty Black Ops II,RuneScape 2,Assassin’s Creed III,Age of Empires II The Age of Kings,20,Overcooked 2,Switch,Overcooked 2,Puzzle / Party,,
2013,2,Secondary School,Call of Duty Black Ops II,Age of Empires II The Age of Kings,Worms World Party,RuneScape 2,20,Elden Ring,PS4,Elden Ring,RPG,,
2013,3,Secondary School,Grand Theft Auto V,Age of Empires II The Age of Kings,Worms World Party,Fallout New Vegas,30,Elden Ring Nightreign,PS4,Elden Ring Nightreign,RPG,,
2013,4,Secondary School,Call of Duty Black Ops II,Grand Theft Auto V,Worms World Party,Fallout New Vegas,20,TowerFall,PS4,TowerFall,Puzzle / Party,,
2014,1,Secondary School,Age of Empires II The Age of Kings,Worms World Party,Grand Theft Auto V,Portal 2,20,WWE 2K24,PS4,WWE 2K24,Fighting / Brawler,,
2014,2,Secondary School,Age of Empires II The Age of Kings,Worms World Party,Grand Theft Auto V,Portal 2,20,RollerCoaster Tycoon 2,PC,RollerCoaster Tycoon 2,Strategy,,
2014,3,Secondary School,Age of Empires II The Age of Kings,Worms World Party,Grand Theft Auto V,Portal 2,20,Freedom Fighters,Game Cube,Freedom Fighters,Stealth ,,
2014,4,Secondary School,Age of Empires II The Age of Kings,Worms World Party,Grand Theft Auto V,Portal 2,20,Star Wars The Clone Wars,Game Cube,Star Wars The Clone Wars,Fighting / Brawler,,
2015,1,Secondary School,Batman Arkham Knight,Age of Empires II The Age of Kings,Call of Duty Black Ops II,Grand Theft Auto V,20,Spider-Man 2,PS2,Spider-Man 2,Platformer,,
2015,2,Secondary School,Batman Arkham Knight,Age of Empires II The Age of Kings,Call of Duty Black Ops II,Grand Theft Auto V,10,Crash Team Racing Nitro-Fueled,PS4,Crash Team Racing Nitro-Fueled,Sports / Racing,,
2015,3,University,Call of Duty Black Ops II,Age of Empires II The Age of Kings,Worms World Party,Batman Arkham Knight,10,Super Mario Bros Deluxe,Game Boy Color,Super Mario Bros Deluxe,Platformer,,
2015,4,University,Call of Duty Black Ops II,Age of Empires II The Age of Kings,Worms World Party,Batman Arkham Knight,10,Call of Duty Modern Warfare 2,Xbox 360,Call of Duty Modern Warfare 2,Shooter,,
2016,1,University,Age of Empires II The Age of Kings,Worms World Party,Call of Duty Black Ops II,Grand Theft Auto V,10,Halo 2,Xbox,Halo 2,Shooter,,
2016,2,University,Age of Empires II The Age of Kings,Worms World Party,Call of Duty Black Ops II,Grand Theft Auto V,10,TimeSplitters 2,PS2,TimeSplitters 2,Shooter,,
2016,3,University,Age of Empires II The Age of Kings,Worms World Party,Call of Duty Black Ops II,Grand Theft Auto V,10,Jak and Daxter,PS2,Jak and Daxter,Platformer,,
2016,4,University,Age of Empires II The Age of Kings,Worms World Party,Call of Duty Black Ops II,Grand Theft Auto V,10,Ratchet & Clank,PS2,Ratchet & Clank,Platformer,,
2017,1,University,Age of Empires II The Age of Kings,Worms World Party,Call of Duty Black Ops II,Grand Theft Auto V,10,Assassin’s Creed,Xbox 360,Assassin’s Creed,Stealth ,,
2017,2,University,Age of Empires II The Age of Kings,Worms World Party,Call of Duty Black Ops II,Grand Theft Auto V,10,Assassin’s Creed III,Xbox 360,Assassin’s Creed III,Stealth ,,
2017,3,University,Assassin’s Creed Origins,Call of Duty Black Ops II,Age of Empires II The Age of Kings,Grand Theft Auto V,20,Assassin’s Creed Odyssey,PS4,Assassin’s Creed Odyssey,RPG,,
2017,4,University,Overcooked,Assassin’s Creed Origins,Call of Duty Black Ops II,Grand Theft Auto V,20,Assassin’s Creed Valhalla,PS4,Assassin’s Creed Valhalla,RPG,,
2018,1,University,World of Warcraft,Call of Duty Black Ops II,Age of Empires II The Age of Kings,Grand Theft Auto V,60,Batman Arkham Knight,PS4,Batman Arkham Knight,Platformer,,
2018,2,University,Overcooked,World of Warcraft,Call of Duty Black Ops II,Grand Theft Auto V,50,Battlefield 1,PS4,Battlefield 1,Shooter,,
